6630,01UT,small_airport,La Sal Junction Airport,US,US-UT,La Sal,01UT,01UT
6631,01VA,small_airport,Pickles Airport,US,US-VA,Berryville,01VA,01VA
6632,01WA,heliport,Willapa Harbor Heliport,US,US-WA,South Bend,01WA,01WA
6633,01WI,small_airport,Prehn Cranberry Company Airport,US,US-WI,Tomah,01WI,01WI
6634,01WN,heliport,Whidbey General Hospital Heliport,US,US-WA,Coupeville,01WN,01WN
45900,01WT,heliport,Odyssey Heliport,US,US-WA,Renton,01WT,01WT
6635,01WY,small_airport,Keyhole Airport,US,US-WY,Moorcroft,01WY,01WY
46288,01XA,heliport,Seton Medical Center Hays Heliport,US,US-TX,Kyle,01XA,01XA
6636,01XS,heliport,Meadowood Ranch Heliport,US,US-TX,Athens,01XS,01XS
6637,02AK,small_airport,Rustic Wilderness Airport,US,US-AK,Willow,02AK,02AK
6638,02AL,small_airport,Bass Field,US,US-AL,Foley,02AL,02AL
43030,02AR,small_airport,Three Rivers Airport,US,US-AR,Little Rock,02AR,02AR
6640,02AZ,small_airport,Winchester Farm Airstrip,US,US-AZ,Willcox,02AZ,02AZ
6641,02CA,heliport,Swepi Beta Platform Ellen Heliport,US,US-CA,Huntington Beach,02CA,02CA
6642,02CD,small_airport,Shannon Field,US,US-MS,Clarksdale,02CD,02CD
6643,02CL,small_airport,Conover Air Lodge Airport,US,US-CA,Frazier Park,02CL,02CL
6644,02CO,small_airport,Mc Cullough Airport,US,US-CO,Monte Vista,02CO,02CO
6645,02CT,heliport,Strangers Point Heliport,US,US-CT,Ellington,02CT,02CT
6646,02FA,small_airport,Osborn Airfield,US,US-FL,Groveland,02FA,02FA
45347,02FL,small_airport,Cuchens Airport,US,US-FL,Defuniak Springs,02FL,02FL
6648,02GA,small_airport,Doug Bolton Field,US,US-GA,Commerce,02GA,02GA
6649,02GE,small_airport,Etowah Fields Airport,US,US-GA,Euharlee,02GE,02GE
6650,02HI,heliport,K3 Helipad Heliport,US,US-HI,Pearl Harbor,02HI,02HI
6651,02IA,heliport,Boone County Hospital Heliport,US,US-IA,Boone,02IA,02IA
6652,02ID,small_airport,Morgan Ranch Airport,US,US-ID,Cascade,02ID,02ID
6653,02II,small_airport,King Ultralightport,US,US-IN,Westfield,02II,02II
6654,02IN,small_airport,Diamond P. Field,US,US-IN,Muncie,02IN,02IN
6655,02IS,heliport,Condell Medical Center Heliport,US,US-IL,Libertyville,02IS,02IS
6656,02KS,small_airport,Jmj Landing Airport,US,US-KS,St Marys,02KS,02KS
6657,02KY,heliport,Boone National Guard Heliport,US,US-KY,Frankfort,02KY,02KY
6658,02LA,heliport,La State Police Troop G Heliport,US,US-LA,Bossier City,02LA,02LA
